Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000435762648	0.020784397	101370.911	101370.911	101370.911	101370.911	0	0	0	0	0	0	3
2	1	0.000694946109	0.0415687939	101327.336	101354.659	101327.336	101370.911	16.2515608	0	0	0	0	0	3
3	1	0.000958072856	0.0623531909	101326.132	101346.824	101326.132	101370.911	24.0864061	0	0	0	0	0	3
4	1	0.00122223014	0.0831375879	101325.631	101342.244	101325.631	101370.911	28.6667913	0	0	0	0	0	3
5	1	0.00149060839	0.103921985	101326.186	101339.353	101325.631	101370.911	31.5580438	0	0	0	0	0	3
6	1	0.00192648426	0.124706382	101325.606	101336.243	101325.606	101370.911	34.668243	0	0	0	0	0	3
7	1	0.00240413284	0.145490779	101326.142	101334.236	101325.606	101370.911	36.6749912	0	0	0	0	0	3
8	1	0.00289740776	0.166275176	101325.515	101332.751	101325.515	101370.911	38.1597067	0	0	0	0	0	3
9	1	0.00339562587	0.187059573	101326.151	101331.783	101325.515	101370.911	39.1280543	0	0	0	0	0	3
10	2	0.00389630129	0.20784397	101325.445	101330.968	101325.445	101370.911	39.942418	0	0	0	0	0	3
11	2	0.00464909708	0.228628367	101326.13	101330.185	101325.445	101370.911	40.7259397	0	0	0	0	0	3
12	2	0.00540383914	0.249412764	101325.434	101329.521	101325.434	101370.911	41.3895554	0	0	0	0	0	3
13	2	0.00615959208	0.270197161	101326.104	101329.102	101325.434	101370.911	41.8088645	0	0	0	0	0	3
14	2	0.00691549579	0.290981558	101325.453	101328.703	101325.434	101370.911	42.2077677	0	0	0	0	0	3
15	2	0.00767178683	0.311765955	101326.039	101328.44	101325.434	101370.911	42.4704095	0	0	0	0	0	3
16	2	0.00880526818	0.332550352	101325.444	101328.055	101325.434	101370.911	42.856179	0	0	0	0	0	3
17	2	0.00993840152	0.353334749	101325.989	101327.819	101325.434	101370.911	43.0916653	0	0	0	0	0	3
18	2	0.01	0.374119146	101322.34	101327.785	101322.34	101370.911	43.1254166	0	0	0	0	0	3
19	2	0.0111302023	0.394903542	101327.173	101327.723	101322.34	101370.911	43.1876399	0	0	0	0	0	3
20	2	0.0122607996	0.415687939	101323.863	101327.367	101322.34	101370.911	43.543564	0	0	0	0	0	3
21	2	0.0139629443	0.436472336	101326.849	101327.304	101322.34	101370.911	43.6067579	0	0	0	0	0	3
22	2	0.0156618989	0.457256733	101324.511	101327.001	101322.34	101370.911	43.9097538	0	0	0	0	0	3
23	3	0.0173868578	0.47804113	101326.108	101326.912	101322.34	101370.911	43.998398	0	0	0	0	0	3
24	3	0.0191057156	0.498825527	101324.687	101326.712	101322.34	101370.911	44.1986414	0	0	0	0	0	3
25	3	0.02	0.519609924	101325.641	101326.664	101322.34	101370.911	44.2465481	0	0	0	0	0	3
26	3	0.0225862146	0.540394321	101324.625	101325.556	101322.34	101327.336	4.9957485	0	0	0	0	0	3
27	3	0.0250976506	0.561178718	101325.043	101325.484	101322.34	101327.173	4.83271158	0	0	0	0	0	3
28	3	0.0275979598	0.581963115	101324.564	101325.391	101322.34	101327.173	4.83271158	0	0	0	0	0	3
29	3	0.03	0.602747512	101324.484	101325.313	101322.34	101327.173	4.83271158	0	0	0	0	0	3
30	3	0.0324913024	0.623531909	101324.172	101325.214	101322.34	101327.173	4.83271158	0	0	0	0	0	3
31	3	0.035771982	0.644316306	101323.986	101325.09	101322.34	101327.173	4.83271158	0	0	0	0	0	3
32	3	0.0390544055	0.665100703	101323.757	101324.957	101322.34	101327.173	4.83271158	0	0	0	0	0	3
33	3	0.04	0.6858851	101323.574	101324.914	101322.34	101327.173	4.83271158	0	0	0	0	0	3
34	4	0.043295339	0.706669497	101323.52	101324.784	101322.34	101327.173	4.83271158	0	0	0	0	0	3
35	4	0.0465964063	0.727453894	101323.393	101324.668	101322.34	101327.173	4.83271158	0	0	0	0	0	3
36	4	0.049901755	0.748238291	101323.273	101324.542	101322.34	101327.173	4.83271158	0	0	0	0	0	3
37	4	0.05	0.769022688	101323.259	101324.524	101322.34	101327.173	4.57786722	0	0	0	0	0	3
38	4	0.0533122035	0.789807085	101323.122	101324.4	101322.34	101327.173	4.3028077	0	0	0	0	0	3
39	4	0.0566467003	0.810591482	101323.016	101324.291	101322.34	101327.173	4.14898682	0	0	0	0	0	3
40	4	0.0599833201	0.831375879	101322.885	101324.177	101322.34	101327.173	3.87818325	0	0	0	0	0	3
41	4	0.0633241709	0.852160276	101322.764	101324.064	101322.34	101327.173	3.75562157	0	0	0	0	0	3
42	4	0.066668623	0.872944673	101322.692	101323.944	101322.34	101327.173	3.84121099	0	0	0	0	0	3
43	4	0.0700166658	0.89372907	101322.602	101323.871	101322.602	101327.173	3.85224606	0	0	0	0	0	3
44	5	0.0733664131	0.914513467	101322.523	101323.738	101322.523	101326.849	3.62882496	0	0	0	0	0	3
45	5	0.0767177585	0.935297864	101322.452	101323.669	101322.452	101326.849	3.63470448	0	0	0	0	0	3
46	5	0.08	0.956082261	101322.4	101323.524	101322.4	101326.108	3.47674088	0	0	0	0	0	3
47	5	0.0833526331	0.976866658	101322.353	101323.442	101322.353	101326.108	3.47086036	0	0	0	0	0	3
48	5	0.0867053384	0.997651055	101322.324	101323.321	101322.324	101325.641	3.31692635	0	0	0	0	0	3
49	5	0.09	1.01843545	101322.314	101323.241	101322.314	101325.641	3.32675347	0.145758097	0	4.3	0	0	3
50	5	0.0933517269	1.03921985	101322.321	101323.17	101322.314	101325.043	2.38575181	0.145758097	0	6.1	0	0	3
51	5	0.0967025614	1.06000425	101322.35	101323.082	101322.314	101325.043	2.40196262	0.145758097	0	6	0	0	3
52	5	0.1	1.08078864	101322.405	101322.987	101322.314	101324.564	2.24970006	0.145758097	0	6.4	0	0	3
