Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000225767302	0.0110359322	0	0	0	0	0	0	0	1000	0	0	3
2	1	0.000343920792	0.0220718644	0	0	0	0	0	0	0	1000	0	0	3
3	1	0.000466304055	0.0331077965	0	0	0	0	0	0	0	1000	0	0	3
4	1	0.00059038516	0.0441437287	0	0	0	0	0	0	0	1000	0	0	3
5	1	0.000717934622	0.0551796609	0	0	0	0	0	0	0	1000	0	0	3
6	1	0.000925802577	0.0662155931	0	0	0	0	0	0	0	1000	0	0	3
7	1	0.0011522539	0.0772515252	0	0	0	0	0	0	0	1000	0	0	3
8	1	0.00138491758	0.0882874574	0	0	0	0	0	0	0	1000	0	0	3
9	1	0.0016194771	0.0993233896	0	0	0	0	0	0	0	1000	0	0	3
10	1	0.00185510603	0.110359322	0	0	0	0	0	0	0	1000	0	0	3
11	1	0.00220976818	0.121395254	0	0	0	0	0	0	0	1000	0	0	3
12	1	0.00256638418	0.132431186	0	0	0	0	0	0	0	1000	0	0	3
13	2	0.00292465562	0.143467118	0	0	0	0	0	0	0	1000	0	0	3
14	2	0.00328436487	0.15450305	0	0	0	0	0	0	0	1000	0	0	3
15	2	0.00364509964	0.165538983	0	0	0	0	0	0	0	1000	0	0	3
16	2	0.00418769068	0.176574915	0	0	0	0	0	0	0	1000	0	0	3
17	2	0.00473175808	0.187610847	0	0	0	0	0	0	0	1000	0	0	3
18	2	0.00527758281	0.198646779	0	0	0	0	0	0	0	1000	0	0	3
19	2	0.00582464434	0.209682711	0	0	0	0	0	0	0	1000	0	0	3
20	2	0.00637329987	0.220718644	0	0	0	0	0	0	0	1000	0	0	3
21	2	0.00719770977	0.231754576	0	0	0	0	0	0	0	1000	0	0	3
22	2	0.00802482526	0.242790508	0	0	0	0	0	0	0	1000	0	0	3
23	2	0.00885345104	0.25382644	0	0	0	0	0	0	0	1000	0	0	3
24	2	0.00968488708	0.264862372	0	0	0	0	0	0	0	1000	0	0	3
25	2	0.0105185302	0.275898304	0	0	0	0	0	0	0	1000	0	0	3
26	3	0.0117736773	0.286934237	0	0	0	0	0	0	0	1000	0	0	3
27	3	0.0130319075	0.297970169	0	0	0	0	0	0	0	1000	0	0	3
28	3	0.0142941335	0.309006101	0	0	0	0	0	0	0	1000	0	0	3
29	3	0.0155573093	0.320042033	0	0	0	0	0	0	0	1000	0	0	3
30	3	0.0168234212	0.331077965	0	0	0	0	0	0	0	1000	0	0	3
31	3	0.0184914042	0.342113897	0	0	0	0	0	0	0	1000	0	0	3
32	3	0.0201632237	0.35314983	0	0	0	0	0	0	0	1000	0	0	3
33	3	0.021839273	0.364185762	0	0	0	0	0	0	0	1000	0	0	3
34	3	0.0235212123	0.375221694	0	0	0	0	0	0	0	1000	0	0	3
35	3	0.0252051856	0.386257626	0	0	0	0	0	0	0	1000	0	0	3
36	3	0.0268893028	0.397293558	0	0	0	0	0	0	0	1000	0	0	3
37	3	0.0285773086	0.408329491	0	0	0	0	0	0	0	1000	0	0	3
38	4	0.0302689131	0.419365423	0	0	0	0	0	0	0	1000	0	0	3
39	4	0.0319633417	0.430401355	0	0	0	0	0	0	0	1000	0	0	3
40	4	0.0336612316	0.441437287	0	0	0	0	0	0	0	1000	0	0	3
41	4	0.0353625103	0.452473219	0	0	0	0	0	0	0	1000	0	0	3
42	4	0.0370680101	0.463509151	0	0	0	0	0	0	0	1000	0	0	3
43	4	0.038777022	0.474545084	0	0	0	0	0	0	0	1000	0	0	3
44	4	0.0404899017	0.485581016	0	0	0	0	0	0	0	1000	0	0	3
45	4	0.0422067105	0.496616948	0	0	0	0	0	0	0	1000	0	0	3
46	4	0.0439278187	0.50765288	0	0	0	0	0	0	0	1000	0	0	3
47	4	0.045653151	0.518688812	0	0	0	0	0	0	0	1000	0	0	3
48	4	0.0473863179	0.529724744	0	0	0	0	0	0	0	1000	0	0	3
49	4	0.0491223558	0.540760677	0	0	0	0	0	0	0	1000	0	0	3
50	4	0.0508665432	0.551796609	0	0	0	0	0	0	0	1000	0	0	3
51	5	0.0526130332	0.562832541	0	0	0	0	0	0	0	1000	0	0	3
52	5	0.0543676904	0.573868473	0	0	0	0	0	0	0	1000	0	0	3
53	5	0.0561285782	0.584904405	0	0	0	0	0	0	0	1000	0	0	3
54	5	0.0578955501	0.595940337	0	0	0	0	0	0	0	1000	0	0	3
55	5	0.0596638324	0.60697627	0	0	0	0	0	0	0	1000	0	0	3
56	5	0.061438742	0.618012202	0	0	0	0	0	0	0	1000	0	0	3
57	5	0.0632186171	0.629048134	0	0	0	0	0	0	0	1000	0	0	3
58	5	0.0650031858	0.640084066	0	0	0	0	0	0	0	1000	0	0	3
59	5	0.0667920823	0.651119998	0	0	0	0	0	0	0	1000	0	0	3
60	5	0.0685850152	0.662155931	0	0	0	0	0	0	0	1000	0	0	3
61	5	0.0703817059	0.673191863	0	0	0	0	0	0	0	1000	0	0	3
62	5	0.0721819038	0.684227795	0	0	0	0	0	0	0	1000	0	0	3
63	6	0.0739854231	0.695263727	0	0	0	0	0	0	0	1000	0	0	3
64	6	0.0757920668	0.706299659	0	0	0	0	0	0	0	1000	0	0	3
65	6	0.0776016183	0.717335591	0	0	0	0	0	0	0	1000	0	0	3
66	6	0.0794140254	0.728371524	0	0	0	0	0	0	0	1000	0	0	3
67	6	0.0812291279	0.739407456	0	0	0	0	0	0	0	1000	0	0	3
68	6	0.0830468636	0.750443388	0	0	0	0	0	0	0	1000	0	0	3
69	6	0.0848671408	0.76147932	0	0	0	0	0	0	0	1000	0	0	3
70	6	0.0866899035	0.772515252	0	0	0	0	0	0	0	1000	0	0	3
71	6	0.0885147344	0.783551184	0	0	0	0	0	0	0	1000	0	0	3
72	6	0.0903400486	0.794587117	0	0	0	0	0	0	0	1000	0	0	3
73	6	0.092165636	0.805623049	0	0	0	0	0	0	0	1000	0	0	3
74	6	0.0939912982	0.816658981	0	0	0	0	0	0	0	1000	0	0	3
75	7	0.0958168643	0.827694913	0	0	0	0	0	0	0	1000	0	0	3
76	7	0.0976422558	0.838730845	0	0	0	0	0	0	0	1000	0	0	3
77	7	0.0994673618	0.849766778	0	0	0	0	0	0	0	1000	0	0	3
78	7	0.1	0.86080271	0	0	0	0	0	0	0	1000	0	0	3
79	7	0.10182463	0.871838642	0	0	0	0	0	0	0	1000	0	0	3
80	7	0.103648828	0.882874574	0	0	0	0	0	0	0	1000	0	0	3
81	7	0.105472519	0.893910506	0	0	0	0	0	0	0	1000	0	0	3
82	7	0.107295729	0.904946438	0	0	0	0	0	0	0	1000	0	0	3
83	7	0.109118478	0.915982371	0	0	0	0	0	0	0	1000	0	0	3
84	7	0.110940511	0.927018303	0	0	0	0	0	0	0	1000	0	0	3
85	7	0.112761802	0.938054235	0	0	0	0	0	0	0	1000	0	0	3
86	8	0.11458314	0.949090167	0	0	0	0	0	0	0	1000	0	0	3
87	8	0.116403968	0.960126099	0	0	0	0	0	0	0	1000	0	0	3
88	8	0.118224165	0.971162031	0	0	0	0	0	0	0	1000	0	0	3
89	8	0.12004511	0.982197964	0	0	0	0	0	0	0	1000	0	0	3
