Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000225767302	0.0110359322	293.199986	293.199986	293.199986	293.199986	0	0	0	0	0	0	3
2	1	0.000343920792	0.0220718644	293.199957	293.199976	293.199957	293.199986	9.85835396e-06	0	0	0	0	0	3
3	1	0.000466304055	0.0331077965	293.199955	293.199971	293.199955	293.199986	1.54187292e-05	0	0	0	0	0	3
4	1	0.00059038516	0.0441437287	293.199952	293.199967	293.199952	293.199986	1.92757936e-05	0	0	0	0	0	3
5	1	0.000717934622	0.0551796609	293.199949	293.199964	293.199949	293.199986	2.24480443e-05	0	0	0	0	0	3
6	1	0.000925802577	0.0662155931	293.199943	293.199959	293.199943	293.199986	2.70035976e-05	0	0	0	0	0	3
7	1	0.0011522539	0.0772515252	293.199937	293.199955	293.199937	293.199986	3.14050126e-05	0	0	0	0	0	3
8	1	0.00138491758	0.0882874574	293.19993	293.19995	293.19993	293.199986	3.55819977e-05	0	0	0	0	0	3
9	1	0.0016194771	0.0993233896	293.199922	293.199946	293.199922	293.199986	3.9644668e-05	0	0	0	0	0	3
10	1	0.00185510603	0.110359322	293.199915	293.199942	293.199915	293.199986	4.36058871e-05	0	0	0	0	0	3
11	1	0.00220976818	0.121395254	293.199911	293.199937	293.199911	293.199986	4.86156355e-05	0	0	0	0	0	3
12	1	0.00256638418	0.132431186	293.199907	293.199933	293.199907	293.199986	5.28565877e-05	0	0	0	0	0	3
13	2	0.00292465562	0.143467118	293.199901	293.199929	293.199901	293.199986	5.67373126e-05	0	0	0	0	0	3
14	2	0.00328436487	0.15450305	293.199896	293.199926	293.199896	293.199986	6.04096019e-05	0	0	0	0	0	3
15	2	0.00364509964	0.165538983	293.199889	293.199922	293.199889	293.199986	6.40138177e-05	0	0	0	0	0	3
16	2	0.00418769068	0.176574915	293.199879	293.199916	293.199879	293.199986	6.95715326e-05	0	0	0	0	0	3
17	2	0.00473175808	0.187610847	293.199868	293.199911	293.199868	293.199986	7.50941629e-05	0	0	0	0	0	3
18	2	0.00527758281	0.198646779	293.199857	293.199905	293.199857	293.199986	8.06552193e-05	0	0	0	0	0	3
19	2	0.00582464434	0.209682711	293.199845	293.1999	293.199845	293.199986	8.62988633e-05	0	0	0	0	0	3
20	2	0.00637329987	0.220718644	293.199833	293.199894	293.199833	293.199986	9.20378146e-05	0	0	0	0	0	3
21	2	0.00719770977	0.231754576	293.199815	293.199885	293.199815	293.199986	0.000101119752	0	0	0	0	0	3
22	2	0.00802482526	0.242790508	293.199795	293.199876	293.199795	293.199986	0.000110381491	0	0	0	0	0	3
