# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.422090e-04	9.304760e-01	-7.941481e-04	-5.392831e-04	-2.548650e-04
2             	-3.019453e-04	1.756495e+00	-2.234662e-03	-1.419276e-03	-8.153855e-04
3             	-2.280700e-04	2.313109e+00	-2.592990e-03	-1.524565e-03	-1.068425e-03
4             	-4.024239e-05	2.436889e+00	-1.934244e-03	-1.007364e-03	-9.268796e-04
5             	2.917555e-05	2.235276e+00	-5.737163e-04	-2.576826e-04	-3.160337e-04
6             	8.771746e-05	1.908602e+00	5.285645e-04	3.519997e-04	1.765648e-04
7             	6.826750e-05	1.614498e+00	5.768414e-04	3.566882e-04	2.201532e-04
8             	2.097538e-04	1.440848e+00	4.329042e-04	4.262059e-04	6.698316e-06
9             	3.410110e-04	1.385576e+00	5.195134e-05	3.669867e-04	-3.150353e-04
10            	3.210982e-04	1.410535e+00	-7.342188e-04	-4.601124e-05	-6.882076e-04
11            	1.921471e-04	1.467291e+00	-1.270463e-03	-4.430843e-04	-8.273785e-04
12            	4.380720e-05	1.525256e+00	-1.453174e-03	-6.827797e-04	-7.703941e-04
13            	-6.235166e-05	1.570658e+00	-1.334588e-03	-7.296455e-04	-6.049422e-04
14            	-1.152111e-04	1.599170e+00	-1.017284e-03	-6.238533e-04	-3.934311e-04
15            	-1.039649e-04	1.612593e+00	-6.441676e-04	-4.260486e-04	-2.181189e-04
16            	-7.825738e-05	1.615280e+00	-3.681862e-04	-2.623505e-04	-1.058357e-04
17            	-6.474860e-05	1.612012e+00	-2.269520e-04	-1.782246e-04	-4.872742e-05
18            	-6.578906e-05	1.607946e+00	-3.129556e-04	-2.222668e-04	-9.068872e-05
19            	-5.015476e-05	1.605414e+00	-4.505346e-04	-2.754221e-04	-1.751125e-04
20            	-9.341828e-06	1.607394e+00	-6.140589e-04	-3.163713e-04	-2.976876e-04
21            	3.220113e-05	1.615215e+00	-7.726630e-04	-3.541304e-04	-4.185326e-04
22            	7.935454e-05	1.628490e+00	-9.669018e-04	-4.040964e-04	-5.628054e-04
23            	1.516245e-04	1.645489e+00	-1.087084e-03	-3.919177e-04	-6.951667e-04
24            	2.300116e-04	1.664723e+00	-1.121645e-03	-3.308107e-04	-7.908338e-04
25            	2.788380e-04	1.685176e+00	-1.168392e-03	-3.053579e-04	-8.630338e-04
26            	3.263829e-04	1.705366e+00	-1.173214e-03	-2.602238e-04	-9.129897e-04
27            	3.462691e-04	1.725141e+00	-1.096753e-03	-2.021073e-04	-8.946454e-04
28            	3.502264e-04	1.743668e+00	-9.578785e-04	-1.287128e-04	-8.291657e-04
29            	3.433090e-04	1.759895e+00	-9.001351e-04	-1.067586e-04	-7.933766e-04
30            	3.327805e-04	1.772779e+00	-8.149483e-04	-7.469366e-05	-7.402546e-04
31            	3.180476e-04	1.782240e+00	-6.858388e-04	-2.487177e-05	-6.609670e-04
32            	2.974099e-04	1.788394e+00	-5.934976e-04	6.611034e-07	-5.941587e-04
33            	2.782965e-04	1.790733e+00	-5.219330e-04	1.732996e-05	-5.392630e-04
34            	2.556088e-04	1.789457e+00	-3.927198e-04	5.924887e-05	-4.519687e-04
35            	1.982129e-04	1.784850e+00	-2.375393e-04	7.944320e-05	-3.169825e-04
36            	1.135446e-04	1.777200e+00	-2.198245e-04	3.632322e-06	-2.234568e-04
37            	-1.453095e-05	1.767074e+00	-2.443917e-04	-1.367268e-04	-1.076649e-04
38            	-1.777411e-04	1.754418e+00	-2.603611e-04	-3.079216e-04	4.756052e-05
39            	-3.821187e-04	1.738627e+00	-2.524341e-04	-5.083357e-04	2.559017e-04
40            	-6.141757e-04	1.719343e+00	-1.147181e-04	-6.715347e-04	5.568166e-04
41            	-8.572772e-04	1.697225e+00	-2.696019e-05	-8.707573e-04	8.437971e-04
42            	-1.103102e-03	1.673125e+00	-2.103474e-05	-1.113620e-03	1.092585e-03
43            	-1.326012e-03	1.648942e+00	-1.820603e-04	-1.417042e-03	1.234982e-03
