naca23012 CL_test = -1.4104, CL_pred = -1.6109
naca23012 CD_test = -1.4104, CD_pred = -1.6109
naca23012 CL_test = -1.5562, CL_pred = -1.6490
naca23012 CD_test = -1.5562, CD_pred = -1.6490
naca23012 CL_test = -1.4952, CL_pred = -1.5689
naca23012 CD_test = -1.4952, CD_pred = -1.5689
naca23012 CL_test = -1.3500, CL_pred = -1.4511
naca23012 CD_test = -1.3500, CD_pred = -1.4511
naca23012 CL_test = -1.1737, CL_pred = -1.2846
naca23012 CD_test = -1.1737, CD_pred = -1.2846
naca23012 CL_test = -0.7390, CL_pred = -0.8321
naca23012 CD_test = -0.7390, CD_pred = -0.8321
naca23012 CL_test = -0.5259, CL_pred = -0.6027
naca23012 CD_test = -0.5259, CD_pred = -0.6027
naca23012 CL_test = -0.3074, CL_pred = -0.3715
naca23012 CD_test = -0.3074, CD_pred = -0.3715
naca23012 CL_test = -0.0831, CL_pred = -0.1386
naca23012 CD_test = -0.0831, CD_pred = -0.1386
naca23012 CL_test = 0.3537, CL_pred = 0.2855
naca23012 CD_test = 0.3537, CD_pred = 0.2855
naca23012 CL_test = 0.5768, CL_pred = 0.4925
naca23012 CD_test = 0.5768, CD_pred = 0.4925
naca23012 CL_test = 0.7998, CL_pred = 0.7051
naca23012 CD_test = 0.7998, CD_pred = 0.7051
naca23012 CL_test = 1.0588, CL_pred = 0.9148
naca23012 CD_test = 1.0588, CD_pred = 0.9148
naca23012 CL_test = 1.2454, CL_pred = 1.1215
naca23012 CD_test = 1.2454, CD_pred = 1.1215
naca23012 CL_test = 1.4300, CL_pred = 1.3252
naca23012 CD_test = 1.4300, CD_pred = 1.3252
naca23012 CL_test = 1.5968, CL_pred = 1.5213
naca23012 CD_test = 1.5968, CD_pred = 1.5213
naca23012 CL_test = 1.7005, CL_pred = 1.6359
naca23012 CD_test = 1.7005, CD_pred = 1.6359
naca23012 CL_test = 1.7283, CL_pred = 1.7064
naca23012 CD_test = 1.7283, CD_pred = 1.7064
naca23012 CL_test = 1.5558, CL_pred = 1.7251
naca23012 CD_test = 1.5558, CD_pred = 1.7251
